name,Kind,Alcohol,Aroma,Taste,Finish
페어 퀴노아 보드카,보드카,40.0,"버터, 캐슈넛","따뜻한, 부드러운","깔끔한, 깨끗한"
그레이 구스 보드카 시트론,보드카,40.0,"신선한, 시트러스, 감귤, 꽃","레몬, 상쾌한, 깔끔한","산뜻한, 진한 여운"
세노테 블랑코 데킬라,보드카,40.0,"용설란, 깔끔한","시트러스, 감귤, 레몬","허브, 깔끔한"
시락 보드카,보드카,40.0,"시트러스, 감귤","시트러스, 감귤",부드러운
케텔 원 보드카,보드카,40.0,"시트러스, 감귤, 꿀",바삭한,"실키, 부드러운, 긴 여운"
벨베디어 시트러스,보드카,40.0,"시트러스, 감귤, 라임","라임, 레몬, 균형 잡힌","깔끔한, 상쾌한"
그레이 구스 보드카 페어,보드카,40.0,"배, 신선한","깔끔한, 부드러운, 상쾌한","산뜻한, 진한 여운"
그레이 구스 보드카 오렌지,보드카,40.0,"신선한, 시트러스, 감귤","오렌지, 프루티, 깔끔한","산뜻한, 상쾌한, 따뜻한"
벨베디어 보드카,보드카,40.0,"깔끔한, 바닐라, 스파이스","부드러운, 상쾌한, 아몬드","화이트 페퍼, 바닐라"
앱솔루트 망고,보드카,40.0,"향긋한, 망고","깔끔한, 달콤한, 망고",깔끔한
스카이 인퓨전 블루베리,보드카,35.0,"블루베리, 과일 파이","블루베리, 달콤한, 미묘한","실키, 블루베리 잼"
스카이 보드카,보드카,40.0,깔끔한,깔끔한,부드러운
피나클 오리지널 보드카,보드카,40.0,"달콤한, 토마토","꽃, 백후추, 주니퍼 베리","레몬 껍질, 시트러스, 감귤"
하쿠 보드카,보드카,40.0,"부드러운, 달콤한, 섬세한, 꽃, 쌀","진한, 달콤한, 복합적인, 쌀","부드러운, 정교한, 깔끔한"
스톨리치나야 솔티드 카라멜 보드카,보드카,37.5,"약간의 스모키, 풍부한, 설탕, 버터","달콤한, 캐러멜, 감미로운, 토피, 짭짤한","캐러멜, 설탕, 토피, 온화한"
스톨리치나야 엘리트,보드카,40.0,"과일, 마시멜로, 미네랄리티","달콤한, 시트러스, 감귤, 페이스트리","가벼운, 깨끗한, 설탕, 후추"
스톨리치나야 골드,보드카,40.0,"과일, 부드러운, 미네랄리티","시트러스, 달콤한, 순수한","설탕, 깨끗한, 순수한, 후추"
티토스 보드카,보드카,40.0,"달콤한, 백후추","향신료, 달콤한","브라질 너트, 흑후추, 강렬한"
