name,Kind,Alcohol,Aroma,Taste,Finish
블랙 톳 럼,럼,46.2,"바나나, 허브, 파인애플, 망고, 가죽","커피, 시나몬, 케이크, 생강, 꿀, 허브","파인애플, 후추, 감초, 복합적인"
솔레라8 골드 오브 모리셔스 다크 럼,럼,40.0,"커피, 견과류, 바닐라, 오크","초콜릿, 커피, 견과류, 달콤한","균형 잡힌, 긴 여운, 강렬한"
크라켄 블랙 스파이스드 럼콕,럼,40.0,"캐러멜, 토피넛, 향신료, 커피, 체리에이드","시나몬, 캐러멜, 바닐라, 육두구","스파이시, 긴 여운"
고슬링 블랙 실 럼 151 프루프,럼,75.5,"다크 초콜릿, 시나몬, 카다멈, 달콤한","당밀, 시럽, 캐러멜, 허브","바닐라, 커피, 타바코"
돈 파파 럼,럼,40.0,"바닐라, 꿀, 설탕, 빵, 오렌지","열대 과일, 달콤한, 커스터드","달콤한, 부드러운, 복합적인"
솔레라5 골드 오브 모리셔스 다크 럼,럼,40.0,"구운 견과류, 초콜릿, 바닐라","오크, 몰트, 부드러운, 달콤한","긴 여운, 부드러운, 달콤한"
돈 파파 포트 캐스크 럼,럼,40.0,"바닐라, 오크, 말린 과일","열대 과일, 말린 과일, 견과류","달콤한, 부드러운, 긴 여운"
돈 파파 10년,럼,43.0,"말린 과일, 다크 초콜릿","과일, 바닐라, 캐러멜, 다크 초콜릿",긴 여운
사마롤리 SPQR 2022,럼,48.0,"말린 무화과, 대추 야자, 꿀","캐러멜, 샤프란, 살구","향신료, 진한, 균형 잡힌"
사마롤리 예먼 클래식,럼,45.0,"우아한, 발사믹, 향신료","말린 과일, 헤이즐넛, 담배","아몬드, 비스킷, 긴 여운"
사마롤리 예먼 빈티지,럼,45.0,"꽃, 초콜릿, 체리","아몬드, 말린 과일, 바닐라","메이플 시럽, 발사믹, 담배"
사마롤리 예먼 레트로,럼,49.0,"섬세한, 꽃, 향기로운","둥근, 파워풀, 순수한","복합적인, 섬세한, 풀"
사마롤리 자메이카 랩소디 2022,럼,45.0,"아몬드, 빵, 에그녹, 견과류","온화한, 커피, 바나나","체리, 풍선껌, 강렬한"
사마롤리 삼바,럼,50.0,"사탕수수, 우드, 꽃","우아한, 과일, 향신료","달콤한, 오일리, 꽃"
사마롤리 2012 퍼시픽 오블리비언,럼,45.0,"바닐라, 민트, 핑크 페퍼","향신료, 말린 과일, 육두구","피트, 비스킷, 타르트"
사마롤리 2004 아이티,럼,45.0,"과일, 향신료, 꽃","과일, 섬세한, 꽃, 풍부한","부드러운, 향신료"
