name,Kind,Alcohol,Aroma,Taste,Finish
레이디 오브 더 글렌 녹두 10년,싱글몰트 위스키,58.2,"진저 캔디, 꽃","달콤한, 깊은","레몬, 감초, 토피"
애버펠디 12년,싱글몰트 위스키,40.0,"라벤더, 향신료, 헤더 꿀","달콤한, 바닐라, 버터스카치, 사과, 시럽, 파인애플, 퍼지","견과류, 몰트, 생강, 오렌지, 자몽 껍질"
로즈뱅크 30년,싱글몰트 위스키,48.6,"캐러멜, 아몬드, 오크, 제비꽃","바닐라, 달콤한, 배, 오렌지, 민트","부드러운, 달콤한, 스파이시, 배"
태백,블렌디드몰트 위스키,40.0,"몰트, 시트러스, 피트","감초, 토피, 피트","풍부한, 부드러운"
더 페이머스 그라우스,블렌디드 위스키,40.0,"과일, 셰리, 시트러스","달콤한, 말린 과일, 향신료, 부드러운","균형 잡힌, 부드러운, 스파이시"
옐로우 로즈 프리미엄 아메리칸 위스키,아메리칸 위스키,40.0,"바나나, 사과, 캐러멜","과일청, 달콤한, 바나나","달콤한, 우드 스파이스, 은은한"
맥캘란 No.5,싱글몰트 위스키,48.5,"오크, 육두구, 생강, 레몬, 바질, 바닐라, 토피, 건포도","복숭아, 잘 익은 배, 캐러멜, 태운 오크, 생강, 과일, 미네랄리티","긴 여운, 달콤한, 퍼지, 말린 과일"
발베니 26년 다크 발리,싱글몰트 위스키,47.8,"몰트, 흑설탕, 바닐라, 토피, 꿀, 스파이스, 오크","진한, 토피, 달콤한, 오렌지 껍질, 시트러스, 바닐라, 오크, 시나몬","바닐라, 우아한, 긴 여운, 오크, 스파이스"
발베니 15년 마데이라 캐스크,싱글몰트 위스키,43.0,"블랙커런트, 브램블, 생강, 스파이시, 잘 익은 자두","시트러스, 오렌지, 헤이즐넛, 잘 익은 자두",긴 여운
발베니 더블우드 25년,싱글몰트 위스키,43.0,"가죽, 스파이시, 달콤한","향신료, 달콤한, 설탕에 절인 오렌지, 꿀, 말린 과일","스파이스, 프루티"
