name,Kind,Alcohol,Aroma,Taste,Finish
클라세 아줄 레포사도,데킬라,40.0,"계피, 바나나, 바닐라, 오렌지, 오크","바닐라, 아가베, 정향, 토피, 헤이즐넛","긴 여운, 부드러운, 풍부한"
돈 훌리오 아녜호,데킬라,38.0,"귤, 라임, 시트러스, 감귤, 캐러멜","꿀, 버터스카치, 아가베, 오크","꿀, 스파이시, 코코아"
1800 아네호,데킬라,40.0,"시나몬, 오크, 캐러멜","달콤한, 바닐라, 아가베","강렬한, 부드러운, 시나몬"
클라세 아줄 25주년,데킬라,40.0,"건포도, 바나나, 우디, 코코넛, 캐러멜","아몬드, 바닐라, 코코아, 캐러멜","긴 여운, 복합적인, 부드러운, 미네랄리티, 시나몬"
볼칸 데 미 티에라 아네호 크리스탈리노 데킬라,데킬라,40.0,"스파이시, 다크 초콜릿","캐러멜, 담배, 오크",풍부한
호세 쿠엘보 에스페샬,데킬라,39.0,"오크, 달콤한, 향긋한, 풀",용설란,"바닐라, 오크"
1800 실버,데킬라,40.0,"오크, 은은한, 바다 내음, 짭짤한, 알코올","아가베, 달콤한",깔끔한
볼칸 데 미 띠에라 블랑코,데킬라,40.0,"허브, 향신료, 아가베","과일, 꽃, 허브, 자몽, 후추",긴 여운
에스폴론 블랑코 데킬라,데킬라,40.0,"열대 과일, 레몬 껍질, 후추",달콤한,"스파이시, 부드러운, 달콤한"
클라세 아줄 플라타,데킬라,40.0,"바닐라, 계피, 오크","부드러운, 허브, 헤이즐넛","시트러스, 풍부한, 긴 여운"
볼칸 데 미 티에라 아네호 크리스탈리노 데킬라,데킬라,40.0,"다크 초콜릿, 스파이시","담배, 오크, 캐러멜",풍부한
볼칸 데 미 띠에라 블랑코,데킬라,40.0,"향신료, 허브, 아가베","자몽, 후추, 꽃, 과일, 허브",긴 여운
씨에라 데킬라 레포사도,데킬라,38.0,"허브, 오렌지, 오크","허브, 오렌지, 바닐라, 용설란","달콤한, 오크, 캐러멜"
씨에라 데킬라 실버,데킬라,38.0,"라임, 사과, 아가베","파인애플, 후추, 신선한","깔끔한, 후추, 상쾌한"
페트론 실버 1.75L,데킬라,40.0,"꽃, 아가베, 신선한","시트러스, 감귤, 신선한","부드러운, 깔끔한"
클라세 아줄 골드,데킬라,40.0,"건포도, 아가베, 아몬드, 오렌지, 청사과, 호두","구운 오크, 다크 초콜릿, 무화과, 생강, 올리브, 코코아","긴 여운, 복합적인, 부드러운"
돈 훌리오 레포사도,데킬라,40.0,"바닐라, 다크 초콜릿, 시트러스, 감귤, 라임","균형 잡힌, 말린 과일, 캐러멜",긴 여운
