name,Kind,Alcohol,Aroma,Taste,Finish
어메이징 애니버서리 에일 2022,맥주,11.2,"캐러멜, 건포도, 크랜베리, 플로럴","건자두, 진득한, 몰트","달콤한, 브라우니, 스모키"
호가든 보타닉,맥주,2.5,"레몬 그라스, 시트러스, 감귤","부드러운, 핵과류",허브
바빅 슈퍼 필스,맥주,5.2,"홉, 신선한, 허브, 꽃","깔끔한, 상쾌한, 고소한",부드러운
삼분수 아르망 & 가스통,맥주(괴즈),7.3,"산뜻한, 효모, 시트러스, 감귤","오렌지, 살구, 청사과","몰트, 오크, 새콤한, 땅콩"
삼분수 오드 괴즈,맥주(괴즈),6.4,"오렌지, 쿰쿰한, 효모","과일, 시트러스, 감귤",산뜻한
린데만스 진저 귀즈,맥주(람빅),6.0,"생강, 새콤한, 쿰쿰한","산뜻한, 생강, 복합적인","담백한, 균형 잡힌"
린데만스 x 미켈러 스폰탄바질,맥주(람빅),6.0,"바질, 허브, 살구","망고, 레몬, 패션프루트","산뜻한, 라임, 엘더플라워"
이클립스 더티 차이,맥주(배럴 에이지드 임페리얼 스타우트),10.9,"커피, 바닐라, 오크","초콜릿, 달콤한, 위스키","향신료, 묵직한, 긴 여운"
이클립스 티라미슈,맥주(배럴 에이지드 임페리얼 스타우트),9.5,"커피, 바닐라, 오크","초콜릿, 달콤한, 위스키","달콤한, 묵직한, 긴 여운"
이클립스 메즈칼,맥주(배럴 에이지드 임페리얼 스타우트),9.9,"커피, 바닐라, 오크","초콜릿, 용설란, 위스키","복합적인, 묵직한, 긴 여운"
아잉거 우르바이스,맥주,5.8,"토스트, 바나나, 정향","부드러운, 고소한","균형 잡힌, 알싸한"
아잉거 브로바이스,맥주,5.1,"부드러운, 달콤한, 바닐라, 꽃","달콤한, 부드러운","쌉쌀한, 가벼운"
패넷포트 2020 빈티지,맥주(다크 스트롱 에일),10.0,"몰트, 시트러스, 감귤",부드러운,"커피, 초콜릿"
그레이트 노션 라이프 IPA,맥주(뉴잉글랜드 IPA),7.0,"시트러스, 감귤, 파인애플","열대 과일, 복숭아, 망고","파파야, 신선한, 홉, 멜론"
파운더스 KBS,맥주(배럴 에이징 임페리얼 스타우트),11.8,"오크, 커피, 바닐라","초콜릿, 달콤한","커피, 견과류"
옴니폴로 노아 피칸 머드 케이크,맥주,11.0,"피칸 케이크, 초콜릿","견과류, 바닐라, 커피",복합적인
트라피스트 로슈포르 10,맥주,11.3,"홉, 과일","달콤한, 과일, 쌉쌀한",균형 잡힌
오드 괴즈 분,맥주,7.0,"상큼한, 레몬, 청사과","포도, 브렛, 균형 잡힌","풍부한, 탄산감"
트리펠 까르멜리엇,맥주,8.4,"바닐라, 오렌지","밀, 귀리, 달콤한, 은은한",부드러운
슐렝케를라 메르첸,맥주,5.1,"스모키, 커피, 몰트","구운 몰트, 홉, 쌉쌀한, 토스트, 검은 과일",복합적인
밸러스트 포인트 스컬핀 IPA,맥주(IPA),7.0,"과일, 달콤한, 풀, 홉","과일, 쌉쌀한","깔끔한, 열대 과일"
토플링 골리앗 킹 수,맥주(뉴잉글랜드 IPA),7.8,"오렌지, 망고, 자몽","부드러운, 열대 과일","꽃, 자몽, 쌉쌀한"
토플링 골리앗 폼페이,맥주(IPA),6.2,"캐러멜, 복숭아, 망고, 비스킷","파인애플, 핵과류","달콤한, 시트러스, 감귤"
닭갈비어,맥주,4.7,"가벼운, 깔끔한","몰트, 청량한",깔끔한
꿀꺽,맥주,4.6,"몰트, 풀, 흙내음, 솔","오렌지, 깔끔한",깔끔한
스밈,맥주,5.5,"꽃, 몰트","레몬, 몰트","시트러스, 감귤, 자몽"
아크 페일 에일 브라운,맥주,5.0,"산뜻한, 홉","몰트, 진한, 감귤","쌉쌀한, 홉"
성수동 페일 에일,맥주,4.5,"자몽, 홉","몰트, 오렌지","가벼운, 과일, 과일, 쌉쌀한"
