name,Kind,Alcohol,Aroma,Taste,Finish
루트 코즈 까베르네 소비뇽,레드 와인,13.0,"오크, 바닐라, 담배","블랙베리, 다크 체리, 라즈베리","스모키, 가죽, 오크"
무똥 까데 블랑,화이트 와인,13.5,"꽃, 시트러스, 감귤, 과일","레몬, 복숭아, 살구","망고, 오렌지, 상큼한"
칸 수모이 라 로사,내추럴 로제 와인,10.5,"꽃, 붉은 과일, 잘 익은 과일","우아한, 가벼운, 섬세한, 깔끔한","신선한, 긴 여운"
카이켄 울트라 까베르네 소비뇽,레드 와인,14.5,"블랙커런트, 체리, 블루베리, 담배, 다크 초콜릿","잘 익은 과일, 농익은, 중후한, 그윽한, 우아한","긴 여운, 우아한"
"투썩 점퍼 와인즈, 황소 오가닉 모나스트렐",레드 와인,14.0,"블랙 체리, 블루베리, 코코아, 과일","섬세한 타닌, 풍성한, 약간의 산미",부드러운
피코 마카리오 바르베라 다스티 라비뇽,레드 와인,13.5,"꽃, 과일","깔끔한, 균형 잡힌, 풍부한","균형 잡힌, 부드러운, 긴 여운"
피코 마카리오 몬페라토 비앙코 에스트로사,화이트 와인,13.0,"꽃, 미네랄리티, 배","부드러운, 긴 여운, 산뜻한","신선한, 풍부한, 깔끔한"
마스터 앤 서번트 나파 까베르네 소비뇽,레드 와인,14.5,"카시스, 바닐라, 감초, 블루베리, 블랙베리, 블랙커런트","묵직한, 진한, 농밀한","초콜릿, 미묘한, 바닐라"
도미누스 이스테이트 도미누스 이스테이트 오뗄로 2018,레드 와인,14.5,붉은 베리류,"실키, 타닌, 선명한","조화로운, 향긋한"
"까스텔로 반피, 브루넬로 디 몬탈치노 2015",레드 와인,13.8,"잘 익은 과일, 체리, 자두, 커피","묵직한, 부드러운, 타바코","긴 여운, 복합적인"
"브라이다, 일 바치알레 몽페라토 로쏘 2017",레드 와인,15.0,"체리, 배","자두, 블랙베리, 블랙커런트","오크, 스파이시, 후추, 시나몬"
바 독 피노 누아,레드 와인,13.5,"딸기, 크랜베리, 바닐라","깔끔한, 풍부한, 균형 잡힌, 부드러운","부드러운 타닌, 묵직한, 긴 여운"
"비테 콜테, 에센제 바롤로",레드 와인,14.0,"바이올렛, 바닐라, 담배, 서양 자두, 라즈베리, 아몬드",강렬한,"긴 여운, 부드러운"
롱반 리저브 피노 누아,레드 와인,13.5,"바닐라, 오크, 초콜릿, 체리","레드베리, 라즈베리, 자두, 잼, 블랙베리","산뜻한, 레드베리, 버터, 섬세한"
금이산 복숭아 와인,화이트 와인,12.0,"복숭아, 과일, 달콤한, 은은한","복숭아, 새콤한, 달콤한","과일, 균형 잡힌, 쌉쌀한, 달콤한, 과일, 은은한"
프루노토 모스카토 다스티,스파클링 와인,5.0,"생강, 복숭아, 배, 아카시아 꿀, 리치","사과, 열대 과일, 멜론, 파인애플, 미네랄리티","복숭아, 배, 달콤한, 살구, 산사나무"
와인 인 어 글라스 소비뇽 블랑,화이트 와인,13.0,"시트러스, 감귤, 복숭아","바닐라, 신선한, 감귤","산뜻한, 새콤한, 열대 과일"
와인 인 어 글라스 쉬라즈,레드 와인,13.5,"후추, 후추, 오크, 오크, 커피, 커피","라즈베리, 라즈베리, 블루베리, 블루베리, 블랙베리, 블랙베리","풍부한, 풍부한, 감초, 감초"
이사벨 에 드니 포미에 샤블리,화이트 와인,12.5,"청사과, 레몬, 자몽","미네랄리티, 가벼운","산미, 균형 잡힌"
"루스토, 이스트 인디아 솔레라",셰리 와인,20.0,"말린 과일, 스모키","달콤한, 포도, 견과류","묵직한, 부드러운 타닌, 달콤한, 균형 잡힌"
루스토 아몬티야도 로스 아르코스,포트 와인,18.5,"헤이즐넛, 배, 고소한","부드러운, 풍부한, 균형 잡힌","긴 여운, 묵직한"
스테마리 네로 다볼라,레드 와인,13.0,"건자두, 블랙베리, 레드베리, 과일, 진한","부드러운, 바닐라","시나몬, 잘 익은 과일"
포티 토니 리제르바,주정강화(포트 와인),19.5,"오크, 바닐라, 참나무","건자두, 건포도","상큼한, 달콤한, 진한"
블락 나인 피노 누아,레드 와인,13.5,"오크, 스파이시, 블랙베리","블랙커런트, 단단한 구조감, 균형 잡힌","균형 잡힌, 균형 잡힌"
파미글리아 레드 블렌드,레드 와인,14.1,"체리, 미네랄리티, 오크","단단한 구조감, 신선한","우아한, 부드러운 타닌, 균형 잡힌"
그랑 크루즈 10년,포트 와인,19.0,"딸기, 라즈베리, 커피, 호두","스파이시, 균형 잡힌, 말린 과일, 우아한","건포도, 아몬드, 오크, 캐러멜, 토피"
곤잘레스 비야스 알폰소 올로로쏘,주정 강화(셰리) 와인,18.0,"견과류, 바닐라, 말린 과일, 오크, 허브","구운 견과류, 부드러운 타닌, 건포도","묵직한, 스파이시"
"상쎄르, 파스칼 발랑",레드 와인,13.0,"붉은 과일, 흙내음, 계피","스파이시, 깔끔한, 균형 잡힌","긴 여운, 풍부한, 단단한 구조감"
테라자스 그랑 말벡,레드 와인,14.5,"자두, 블랙베리, 바닐라","자두, 블랙베리, 깔끔한","과일, 단단한 구조감, 초콜릿"
