name,Kind,Alcohol,Aroma,Taste,Finish
장 퓨 VSOP 섭틸 앤 쏘,꼬냑,40.0,"시트러스, 감귤, 꽃, 달콤한","무화과, 머스캣, 오렌지, 아몬드, 화사한","따뜻한, 신선한, 복합적인, 풍부한"
장 퓨 XO 그랑 리저브,꼬냑,44.0,"말린 과일, 바닐라, 꿀, 초콜릿, 설탕에 절인 과일","망고, 오렌지, 살구, 복숭아, 엘더플라워, 견과류, 꿀, 란시오","메이플 시럽, 다크 초콜릿, 시나몬, 홍차, 긴 여운, 향신료"
장 퓨 오다주 그랑 샹파뉴 한복 No.1,꼬냑,42.0,"화사한, 꽃, 바이올렛, 건포도, 꿀, 란시오","달콤한, 자두, 복숭아, 시나몬, 진저, 가죽","온화한, 긴 여운, 향신료"
발레앙 테시니에 로트 89 팡 부아 1989,꼬냑,48.5,"바닐라, 섬세한, 시나몬, 시트러스, 감귤, 자두, 채소, 타바코, 회향","바닐라, 배, 살구","구운 호두, 마데이라, 미묘한, 자두, 프랄린"
발레앙 테시니에 1990 봉 부아,꼬냑,42.9,"아몬드, 포트 와인","스파이시, 신선한, 오일리, 절인 살구, 후추","구운 헤이즐넛, 미묘한, 바닐라, 자스민"
발레앙 테시니에 로트 96 팡 부아 1996,꼬냑,48.7,"미묘한, 바이올렛, 살구, 열대 과일, 자스민, 케이크","레몬, 감초, 바이올렛, 후추, 풍부한","구운 빵, 꿀, 밤, 백차, 플로럴"
발레앙 테시니에 1998 쁘띠 상파뉴,꼬냑,42.1,"마시멜로, 망고, 바닐라, 바이올렛, 진저 캔디, 시가 박스, 열대 과일, 패션프루트","감초, 계피, 균형 잡힌, 자두, 후추","복숭아, 살구"
발레앙 테시니에 로트 72 쁘띠 상파뉴,꼬냑,51.3,"복합적인, 샤프란, 포트 와인, 프랄린","감초, 바닐라, 버번, 부드러운 타닌, 오렌지, 케이크, 헤더 꿀","건포도, 견과류, 스모키, 타바코"
바쉐 가브리엘센 VSOP 트리플 캐스크,꼬냑,40.0,"나무, 대추 야자, 말린 과일, 바닐라, 살구, 아몬드, 헤이즐넛","과일, 바나나, 우아한","향신료, 긴 여운"
바쉐 가브리엘센 아메리칸 오크,꼬냑,40.0,"견과류, 바닐라, 섬세한, 열대 과일, 코코넛, 코코아, 파인애플","풍부한, 오크, 부드러운","말린 과일, 오크, 스파이시"
바쉐 가브리엘센 XO 파인 상파뉴,꼬냑,40.0,"꽃, 꿀, 바닐라, 시가, 시나몬, 아이리스","균형 잡힌, 말린 과일, 후추, 초콜릿","계피, 달콤한, 향신료"
바쉐 가브리엘센 세레니트 엑스트라 그랑 상파뉴,꼬냑,40.0,"마멀레이드, 모카, 비터 오렌지, 우아한","꽃, 둥근, 바닐라, 커피","풍부한, 긴 여운"
바쉐 가브리엘센 오다주 그랑 상파뉴,꼬냑,40.0,"꿀, 블랙베리, 우드, 풍부한, 향신료","과일, 균형 잡힌, 꽃, 나무, 스파이스","계피, 긴 여운, 베리류, 육두구"
바쉐 가브리엘센 빈티지 1999 그랑 상파뉴,꼬냑,46.9,"시가 박스, 정향, 향신료","다크 초콜릿, 커피, 진저 브레드","긴 여운, 향신료"
프랑소와 페이로 VSOP,꼬냑,40.0,"꽃, 꿀, 말린 과일, 바닐라","달콤한, 말린 과일, 조화로운","균형 잡힌, 긴 여운"
프랑소와 페이로 XO,꼬냑,40.0,"꽃, 오크, 커피, 타바코","균형 잡힌, 스파이스, 코코아, 후추","미묘한, 조화로운, 풍부한"
프랑소와 페이로 헤리티지 로트 60,꼬냑,42.0,"말린 과일, 바닐라, 향신료","견과류, 우드, 후추, 복합적인","긴 여운, 란시오, 풍부한"
다니엘 부쥬 리저브 패밀리에,꼬냑,42.0,"달콤한, 가죽, 민트, 감초, 타바코","진한, 우아한, 타닌, 꽃, 나무, 산미, 란시오","긴 여운, 스파이시"
다니엘 부쥬 프리미어 아롬스,꼬냑,45.0,"신선한, 과일, 은은한","둥근, 부드러운","깔끔한, 상쾌한"
헨리 무니에 VS,꼬냑,40.0,"플로럴, 과일","달콤한, 배, 스파이스, 바닐라","깔끔한, 스파이시"
라 파예뜨 VS,꼬냑,40.0,"바닐라, 배, 아카시아꽃, 넛맥, 오크, 풍부한","과일, 붉은 과일, 풍부한, 단단한 구조감","풍부한, 긴 여운"
에이치 바이 하인 VSOP,꼬냑,40.0,"꽃, 바닐라, 사과, 신선한","과일, 꽃, 부드러운","블랙베리, 은은한, 후추"
장 퓨 라 뿌이드,꼬냑,42.0,"바닐라, 핵과류, 꽃","살구, 신선한, 아몬드, 열대 과일","포도, 긴 여운, 스파이시"
장 퓨 트레뷰,꼬냑,40.0,"바닐라, 잼, 과일, 오렌지, 배","진한, 꿀, 마멀레이드, 배","긴 여운, 스파이시"
비스킷 앤 드보셰 XO,꼬냑,40.0,"우디, 스모키, 타바코, 코코아, 건자두","설탕에 절인 과일, 모카, 삼나무, 매실","복합적인, 묵직한, 감초, 자두, 긴 여운"
비스킷 앤 드보셰 VSOP,꼬냑,40.0,"잘 익은 과일, 말린 살구, 꿀, 시나몬, 스파이스, 장미","감귤, 시트러스, 망고, 흑설탕, 메이플, 페이스트리","캐러멜, 모카, 녹차, 포도, 부드러운, 긴 여운"
꼬띠에르 XO,꼬냑,14.0,"오렌지, 바닐라, 오크","계피, 진저 브레드, 캐러멜","달콤한, 복합적인"
꼬띠에르 Extra,꼬냑,40.0,"바닐라, 과일, 꽃, 참나무, 오크","말린 과일, 오크, 달콤한","섬세한, 우아한, 부드러운"
레미 마틴 XO,꼬냑,40.0,"꽃, 자스민, 말린 오렌지, 자두, 계피","블랙베리, 오크, 과일, 라즈베리","오크, 말린 과일, 견과류, 긴 여운"
레미 마틴 1738,꼬냑,40.0,"자두, 무화과, 토피, 구운 빵, 오크","버터스카치, 다크 초콜릿, 향신료","오크, 섬세한, 견과류"
꾸브와제 XO,꼬냑,40.0,"바닐라, 캐러멜, 크렘 브륄레","설탕, 오렌지, 달콤한, 섬세한","달콤한, 강렬한, 꽃"
꾸브와제 VSOP,꼬냑,40.0,"복숭아, 견과류, 자스민","오크, 꽃, 균형 잡힌, 부드러운","부드러운, 달콤한"
까뮤 보더리 VSOP,꼬냑,40.0,"바닐라, 복숭아, 사과, 시나몬, 오렌지 껍질, 꽃, 꿀","핵과류, 밀크 초콜릿, 나무","긴 여운, 균형 잡힌"
까뮤 VSOP 인텐스리 아로마틱,꼬냑,40.0,"균형 잡힌, 열대 과일, 상큼한, 플로럴","스파이스, 바닐라, 사과, 서양 배","부드러운, 복합적인"
까뮤 VSOP,꼬냑,40.0,"균형 잡힌, 신선한, 열대 과일, 타닌","플로럴, 과일","향신료, 바닐라"
장 퓨 No.1,꼬냑,46.0,"향신료, 살구, 바닐라","토피넛, 란시오, 오크, 후추","레드 와인, 건포도, 오크"
프랑소와 페이로 XO,꼬냑,40.0,"꽃, 타바코, 커피","코코아, 스파이스","풍부한, 미묘한, 조화로운"
프라팡 XO VIP,꼬냑,40.0,"사과, 건포도, 대추, 살구, 설탕에 절인 오렌지, 정향, 후추, 고수풀","진저, 과일, 크리스마스 케이크, 향신료, 초콜릿, 진저 브레드","풍부한, 균형 잡힌"
장 퓨 16 앙다주,꼬냑,42.0,"꿀, 말린 과일, 복숭아, 우드","오렌지, 잘 익은 자두, 복합적인","차, 시나몬, 다크 초콜릿"
장 퓨 트레뷰,꼬냑,40.0,"바닐라, 잼, 과일, 오렌지, 배","배, 진한, 꿀, 마멀레이드","긴 여운, 스파이시"
까뮤 보더리 VSOP,꼬냑,40.0,"복숭아, 꿀, 사과, 시나몬","바닐라, 스파이스","과일, 부드러운, 긴 여운"
장 퓨 소 엘레강티심 XO,꼬냑,40.0,"꽃, 장미, 아카시아, 복숭아","패션프루트, 레몬 타르트, 살구","고수, 카다멈, 달콤한, 향신료, 긴 여운"
발레앙 테시니에 VSOP,꼬냑,40.0,"꽃, 과일","부드러운, 바닐라, 꽃, 핵과류","우아한, 섬세한"
발레앙 테시니에 XO,꼬냑,40.0,"가죽, 바닐라, 꽃, 향신료","부드러운, 꿀, 과일, 귤, 타바코",긴 여운
헤네시 VS,꼬냑,40.0,"구운 아몬드, 흑설탕, 과일","진한, 견과류, 바닐라, 꽃","꽃, 풍성한, 부드러운"
까뮤 엑스트라 다크 & 인텐스,꼬냑,40.0,"크렘 브륄레, 진저 브레드, 구운 견과류","강렬한, 초콜릿, 향신료","긴 여운, 초콜릿"
발레앙 테시니에 오다주,꼬냑,42.0,"파파야, 열대 과일, 란시오","말린 복숭아, 파인애플, 자스민","캐러멜, 바닐라, 생강"
프랑소와 페이로 셀렉션,꼬냑,40.0,"과일, 꽃, 달콤한, 바닐라","과일, 달콤한, 신선한","우아한, 실키"
마르텔 XO,꼬냑,40.0,"무화과, 호두, 샌달우드, 핑크 페퍼, 고수","무화과, 붉은 과일","긴 여운, 단단한 구조감"
마르텔 VSOP 레드 배럴스,꼬냑,40.0,"자두, 살구, 망고, 멜론, 강렬한","나무, 부드러운, 스파이시","균형 잡힌, 과일, 우아한"
꾸브와제 VSOP,꼬냑,40.0,"견과류, 복숭아, 자스민","균형 잡힌, 꽃, 부드러운, 오크","달콤한, 부드러운"
그로페랑 세파쥬 그랑드 상파뉴 꼬냑,꼬냑,42.0,"흰 꽃, 머스크, 시나몬","청포도, 아카시아, 장미","꽃, 꿀, 화려한"
꼬띠에르 랜턴 XO,꼬냑,40.0,"절인 과일, 계피, 구운 빵","미묘한, 꽃, 풍부한, 균형 잡힌","풍부한, 부드러운, 긴 여운"
라센 바이킹 벨,꼬냑,40.0,"블랙커런트, 자두, 모란 꽃, 소나무, 상쾌한","부드러운, 산뜻한, 복합적인",복합적인
랑디 XO,꼬냑,40.0,"꿀, 갈색 설탕, 밀크 초콜릿","말린 과일, 대추 야자, 바닐라","오렌지 마멀레이드, 삼나무"
꼬띠에르 VSOP,꼬냑,40.0,"꽃, 스파이스, 오크, 참나무","건포도, 말린 무화과, 부드러운, 설탕","달콤한, 스파이스, 오크, 균형 잡힌"
에이치 바이 하인 VSOP,꼬냑,40.0,"바닐라, 꽃, 사과, 신선한","과일, 꽃, 부드러운","후추, 은은한, 블랙베리"
사마롤리 꼬냑 그랑 상파뉴 1972 빈티지,꼬냑,56.8,"설탕에 절인 과일, 우아한, 향신료, 시트러스, 감귤","가죽, 달콤한, 민트, 바닐라, 상큼한, 설탕에 절인 과일, 유칼립투스, 블랙커런트",복합적인
발레앙 테시니에 로트 96 팡 부아 1996,꼬냑,48.7,"미묘한, 바이올렛, 살구, 열대 과일, 자스민, 케이크","감초, 바이올렛, 풍부한, 레몬, 후추","구운 빵, 꿀, 밤, 백차, 플로럴"
발레앙 테시니에 1998 쁘띠 상파뉴,꼬냑,42.1,"망고, 바닐라, 바이올렛, 시가 박스, 열대 과일, 패션프루트, 진저 캔디, 마시멜로","감초, 계피, 균형 잡힌, 자두, 후추","살구, 복숭아"
발레앙 테시니에 그랑 루 34 그랑 상파뉴 1934,꼬냑,42.0,"가죽, 마데이라, 호두, 샤프란, 복합적인","말린 베리, 멘솔, 신선한","마데이라, 긴 여운, 바닐라, 달콤한"
발레앙 테시니에 엘 에로티크 1969 그랑 상파뉴,꼬냑,48.7,"계피, 생강, 후추, 스파이시","감초, 초콜릿, 로스팅한 커피","긴 여운, 부드러운"
발레앙 테시니에 로트 72 쁘띠 상파뉴,꼬냑,51.3,"프랄린, 샤프란, 포트 와인, 복합적인","감초, 바닐라, 버번, 부드러운 타닌, 오렌지, 케이크, 헤더 꿀","건포도, 견과류, 타바코, 스모키"
발레앙 테시니에 1990 봉 부아,꼬냑,42.9,"아몬드, 포트 와인","신선한, 오일리, 절인 살구, 스파이시, 후추","구운 헤이즐넛, 미묘한, 바닐라, 자스민"
발레앙 테시니에 로트 89 팡 부아 1989,꼬냑,48.5,"감귤, 시트러스, 타바코, 바닐라, 회향, 채소, 자두, 시나몬, 섬세한","살구, 배, 바닐라","프랄린, 자두, 미묘한, 마데이라, 구운 호두"
바쉐 가브리엘센 VSOP 트리플 캐스크,꼬냑,40.0,"나무, 말린 과일, 바닐라, 살구, 아몬드, 헤이즐넛, 대추 야자","바나나, 우아한, 과일","향신료, 긴 여운"
바쉐 가브리엘센 아메리칸 오크,꼬냑,40.0,"견과류, 바닐라, 섬세한, 열대 과일, 코코넛, 코코아, 파인애플","부드러운, 풍부한, 오크","말린 과일, 오크, 스파이시"
바쉐 가브리엘센 XO 파인 상파뉴,꼬냑,40.0,"꿀, 바닐라, 시가, 시나몬, 아이리스, 꽃","균형 잡힌, 말린 과일, 초콜릿, 후추","계피, 달콤한, 향신료"
바쉐 가브리엘센 세레니트 엑스트라 그랑 상파뉴,꼬냑,40.0,"마멀레이드, 모카, 우아한, 비터 오렌지","꽃, 둥근, 바닐라, 커피","풍부한, 긴 여운"
헤네시 파라디 엑스트라,꼬냑,40.0,"스파이시, 꽃, 바닐라, 풍부한","오크, 깔끔한",균형 잡힌
레미 마틴 루이 13세,꼬냑,40.0,"꽃, 달콤한, 과일, 향신료","가죽, 장미, 시트러스, 감귤, 자스민, 허니서클","넛맥, 샌달우드"
마르텔 VSOP 레드 배럴스,꼬냑,40.0,"강렬한, 망고, 멜론, 살구, 자두","나무, 부드러운, 스파이시","과일, 균형 잡힌, 우아한"
레미 마틴 XO,꼬냑,40.0,"계피, 꽃, 말린 오렌지, 자두, 자스민","과일, 라즈베리, 블랙베리, 오크","견과류, 긴 여운, 말린 과일, 오크"
까뮤 XO,꼬냑,40.0,"과일, 꽃, 오크, 향신료","과일 잼, 살구, 설탕, 오렌지","균형 잡힌, 긴 여운, 부드러운"
레미 마틴 VSOP,꼬냑,40.0,"감초, 꽃, 바닐라, 오크","구운 사과, 복숭아","부드러운, 살구"
꼬띠에르 VSOP,꼬냑,40.0,"꽃, 스파이스, 오크, 참나무","건포도, 말린 무화과, 부드러운, 설탕","균형 잡힌, 달콤한, 스파이스, 오크"
하인 레어 디 오리지날,꼬냑,40.0,"사탕, 스파이시, 오렌지, 은은한, 자스민, 제비꽃, 풍부한","과일, 마멀레이드, 사과, 살구, 생강, 스파이시, 풍부한","복숭아, 살구, 오크, 잘 익은 과일, 포도"
프랑소와 페이로 헤리티지 로트 60,꼬냑,42.0,"말린 과일, 바닐라, 향신료","견과류, 복합적인, 우드, 후추","긴 여운, 란시오, 풍부한"
까뮤 일 드 레 파인 아일랜드,꼬냑,40.0,"균형 잡힌, 신선한, 꽃, 미묘한","과일, 플로럴, 스파이스","바닐라, 향신료, 오크"
피에르 페랑 1840,꼬냑,45.0,"꽃, 아카시아, 삼나무","과일, 따뜻한, 꿀","따뜻한, 꿀, 향신료"
라뇨 사부랑 No.35 퐁비에이,꼬냑,43.0,"감초, 꽃","꿀, 오렌지, 오크","향신료, 란시오"
라뇨 사부랑 No.20 스페셜 리저브 스페셜,꼬냑,43.0,"발사믹, 크리스피한, 꽃","포도, 사과, 꿀","부드러운 타닌, 포도, 꽃"
라뇨 사부랑 No. 10 VSOP,꼬냑,41.0,"참나무, 과일 조림, 커피 콩","레몬, 향신료, 버터","말린 과일, 란시오, 토피"
까뮤 일 드 레 파인 아일랜드,꼬냑,40.0,"균형 잡힌, 꽃, 미묘한, 신선한","과일, 스파이스, 플로럴","바닐라, 오크, 향신료"
레미 마틴 루이 13세,꼬냑,40.0,"꽃, 향신료, 달콤한, 과일","가죽, 자스민, 허니서클, 장미, 시트러스, 감귤","넛맥, 샌달우드"
레미 마틴 XO,꼬냑,40.0,"꽃, 자스민, 말린 오렌지, 자두, 계피","오크, 과일, 라즈베리, 블랙베리","오크, 말린 과일, 견과류, 긴 여운"
까뮤 나폴레옹 라 그랑마퀴,꼬냑,40.0,"복숭아, 꿀, 사과, 시나몬","바닐라, 스파이스","과일, 호두, 담배, 가죽"
프린스 폴리냑 꼬냑 XO 로얄,꼬냑,40.0,"아몬드, 생강, 바닐라","시트러스, 감귤, 향신료, 우드","설탕에 절인 과일, 스파이시"
마르텔 VSOP,꼬냑,40.0,"자두, 살구, 망고, 멜론, 강렬한","나무, 부드러운, 스파이시","균형 잡힌, 과일, 우아한"
라뇨 사부랑 No.45 플로리레지,꼬냑,46.0,"커피, 삼나무, 가죽, 향신료, 과일","말린 과일, 벌꿀, 스파이시","긴 여운, 말린 오렌지, 초콜릿, 풍부한"
레미 마틴 XO 엑셀런스,꼬냑,40.0,"꽃, 자스민, 말린 오렌지, 자두, 계피","블랙베리, 오크, 과일, 라즈베리","말린 과일, 오크, 견과류, 긴 여운"
까뮤 XO 엘레강스,꼬냑,40.0,"꽃, 과일, 오크, 향신료","살구, 오렌지, 과일 잼, 나무, 스파이시","부드러운, 긴 여운, 상큼한, 쌉쌀한"
라뇨 사부랑 1989 빈티지,꼬냑,41.0,"설탕에 절인 과일, 허니듀, 바닐라","마지팬, 부드러운 타닌, 신선한, 과일","긴 여운, 복합적인, 둥근"
마르텔 VSOP,꼬냑,40.0,"강렬한, 망고, 멜론, 살구, 자두","나무, 부드러운, 스파이시","과일, 균형 잡힌, 우아한"
다니엘 부쥬 XO,꼬냑,40.0,"견과류, 시나몬, 바닐라","자두, 호두, 포도 잼","란시오, 긴 여운, 부드러운"
라뇨 사부랑 엑스트라 No.25 XO 25년,꼬냑,40.0,"장미, 포도, 허브","나무, 바닐라, 말린 과일","꽃, 풍부한, 긴 여운"
까뮤 엑스트라 롱넥,꼬냑,40.0,"오크, 향신료, 제비꽃, 건포도","과일 잼, 말린 과일, 견과류","담배, 가죽, 긴 여운"
하디 레전드 1863,꼬냑,40.0,"시트러스, 마멀레이드, 커피","바닐라, 오렌지, 우아한","긴 여운, 오크"
